2026-01-07 21:02:58 | INFO | detector:detect_vehicles:84 | Detected 3 vehicles in frame
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:86 |   - car at [170, 317, 184, 329] (conf: 0.79)
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:86 |   - car at [269, 531, 336, 599] (conf: 0.66)
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:86 |   - car at [195, 314, 209, 324] (conf: 0.52)
2026-01-07 21:02:58 | INFO | tracker:update:143 | Tracking 3 objects
2026-01-07 21:02:58 | INFO | tracker:update:145 |   - Track 1: car at (177.0, 323.0)
2026-01-07 21:02:58 | INFO | tracker:update:145 |   - Track 2: car at (302.5, 565.0)
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:84 | Detected 3 vehicles in frame
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:86 |   - car at [170, 317, 184, 329] (conf: 0.82)
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:86 |   - car at [269, 531, 337, 599] (conf: 0.67)
2026-01-07 21:02:58 | INFO | detector:detect_vehicles:86 |   - car at [195, 314, 209, 324] (conf: 0.60)
2026-01-07 21:02:58 | INFO | tracker:update:143 | Tracking 3 objects
2026-01-07 21:02:58 | INFO | tracker:update:145 |   - Track 1: car at (177.0, 323.0)
2026-01-07 21:02:58 | INFO | tracker:update:145 |   - Track 2: car at (303.0, 565.0)
2026-01-07 21:02:58 | INFO | tracker:update:145 |   - Track 3: car at (202.0, 319.0)
2026-01-07 21:02:58 | INFO | counter:update_counts:151 | Counter received 3 tracked objects
2026-01-07 21:02:58 | INFO | counter:update_counts:158 | Processing track 1: car at position (177.0, 323.0)
2026-01-07 21:02:58 | INFO | counter:update_counts:158 | Processing track 2: car at position (303.0, 565.0)
2026-01-07 21:02:58 | INFO | counter:update_counts:158 | Processing track 3: car at position (202.0, 319.0)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:84 | Detected 3 vehicles in frame
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [170, 317, 184, 330] (conf: 0.86)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [269, 531, 336, 599] (conf: 0.65)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [195, 314, 209, 324] (conf: 0.62)
2026-01-07 21:02:59 | INFO | tracker:update:143 | Tracking 3 objects
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 1: car at (177.0, 323.5)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 2: car at (302.5, 565.0)
